#AGGR_TYPE_CD,S_MTCU,OCCPTN_GRP_CD,OCCPTN_SGRP_CD,NOC_CODE_RANK,NOC_CODE_PERCENTAGE,NOC_CODE_CODE,NOC_DESCRIPTION_ENGLISH,NOC_DESCRIPTION_FRENCH
Program,A-63200,B,B17,4,6,6512,Bartenders,Barmans/barmaids
Program,A-63200,B,B17,2,12,6513,Food and beverage servers,Serveurs/serveuses d'aliments et de boissons
Program,A-63200,B,B17,1,22,6525,Hotel front desk clerks,Réceptionnistes d'hôtel
Program,A-63200,B,B17,4,6,6552,Other customer and information services representatives,Autres préposés/autres préposées aux services d'information et aux services à la clientèle
Program,A-63201,B,B17,5,5,1241,Administrative assistants,Adjoints administratifs/adjointes administratives
Program,A-63201,B,B17,5,5,6311,Food service supervisors,Superviseurs/superviseures des services alimentaires
Program,A-63201,B,B17,4,8,6421,Retail salespersons,Vendeurs/vendeuses - commerce de détail
Program,A-63201,B,B17,3,9,6513,Food and beverage servers,Serveurs/serveuses d'aliments et de boissons
Program,A-63201,B,B17,1,23,6525,Hotel front desk clerks,Réceptionnistes d'hôtel
Program,A-63201,B,B17,2,12,6611,Cashiers,Caissiers/caissières
Program,A-63201,B,B17,5,5,6711,"Food counter attendants, kitchen helpers and related support occupations","Serveurs/serveuses au comptoir, aides de cuisine et personnel de soutien assimilé"
Program,A-63204,B,B17,3,8,3219,Other medical technologists and technicians (except dental health),Autres technologues et techniciens/techniciennes des sciences de la santé (sauf soins dentaires)
Program,A-63204,B,B17,1,50,6311,Food service supervisors,Superviseurs/superviseures des services alimentaires
Program,A-63204,B,B17,3,8,6322,Cooks,Cuisiniers/cuisinières
Program,A-63204,B,B17,3,8,6525,Hotel front desk clerks,Réceptionnistes d'hôtel
Program,A-63204,B,B17,2,25,6711,"Food counter attendants, kitchen helpers and related support occupations","Serveurs/serveuses au comptoir, aides de cuisine et personnel de soutien assimilé"
Program,A-63205,B,B16,2,9,631,Restaurant and food service managers,Directeurs/directrices de la restauration et des services alimentaires
Program,A-63205,B,B16,2,9,5254,"Program leaders and instructors in recreation, sport and fitness","Animateurs/animatrices et responsables de programmes de sports, de loisirs et de conditionnement physique"
Program,A-63205,B,B16,2,9,6513,Food and beverage servers,Serveurs/serveuses d'aliments et de boissons
Program,A-63205,B,B16,1,14,6525,Hotel front desk clerks,Réceptionnistes d'hôtel
Program,A-63205,B,B16,2,9,6731,Light duty cleaners,Préposés/préposées à l'entretien ménager et au nettoyage - travaux légers
Program,A-63401,A,A03,2,6,6421,Retail salespersons,Vendeurs/vendeuses - commerce de détail
Program,A-63401,A,A03,1,88,6562,"Estheticians, electrologists and related occupations","Esthéticiens/esthéticiennes, électrolystes et personnel assimilé"
Program,A-63401,A,A03,2,6,6622,"Store shelf stockers, clerks and order fillers","Garnisseurs/garnisseuses de tablettes, commis et préposés/préposées aux commandes dans les magasins"
Program,A-63702,T,T03,2,6,631,Restaurant and food service managers,Directeurs/directrices de la restauration et des services alimentaires
Program,A-63702,T,T03,1,31,2211,Chemical technologists and technicians,Technologues et techniciens/techniciennes en chimie
Program,A-63702,T,T03,4,4,2221,Biological technologists and technicians,Technologues et techniciens/techniciennes en biologie
Program,A-63702,T,T03,4,4,6211,Retail sales supervisors,Superviseurs/superviseures des ventes - commerce de détail
Program,A-63702,T,T03,4,4,6311,Food service supervisors,Superviseurs/superviseures des services alimentaires
Program,A-63702,T,T03,4,4,6541,Security guards and related security service occupations,Agents/agentes de sécurité et personnel assimilé des services de sécurité
Program,A-63702,T,T03,4,4,6611,Cashiers,Caissiers/caissières
Program,A-63702,T,T03,4,4,6711,"Food counter attendants, kitchen helpers and related support occupations","Serveurs/serveuses au comptoir, aides de cuisine et personnel de soutien assimilé"
Program,A-63702,T,T03,4,4,9461,"Process control and machine operators, food, beverage and associated products processing","Opérateurs/opératrices de machines et de procédés industriels dans la transformation des aliments, des boissons et des produits connexes"
Program,A-63702,T,T03,2,6,9465,"Testers and graders, food, beverage and associated products processing","Échantillonneurs/échantillonneuses et trieurs/trieuses dans la transformation des aliments, des boissons et des produits connexes"
Program,A-63905,A,A08,4,1,114,Other administrative services managers,Directeurs/directrices d'autres services administratifs
Program,A-63905,A,A08,4,1,711,Construction managers,Directeurs/directrices de la construction
Program,A-63905,A,A08,4,1,1221,Administrative officers,Agents/agentes d'administration
Program,A-63905,A,A08,4,1,1226,Conference and event planners,Planificateurs/planificatrices de congrès et d'événements
Program,A-63905,A,A08,4,1,2152,Landscape architects,Architectes paysagistes
Program,A-63905,A,A08,1,55,2225,Landscape and horticulture technicians and specialists,Techniciens/techniciennes et spécialistes de l'aménagement paysager et de l'horticulture
Program,A-63905,A,A08,4,1,6211,Retail sales supervisors,Superviseurs/superviseures des ventes - commerce de détail
Program,A-63905,A,A08,4,1,6314,Customer and information services supervisors,Superviseurs/superviseures des services d'information et des services à la clientèle
Program,A-63905,A,A08,4,1,6421,Retail salespersons,Vendeurs/vendeuses - commerce de détail
Program,A-63905,A,A08,4,1,7281,Bricklayers,Briqueteurs-maçons/briqueteuses-maçonnes
Program,A-63905,A,A08,4,1,7302,"Contractors and supervisors, heavy equipment operator crews",Entrepreneurs/entrepreneuses et contremaîtres/contremaîtresses des équipes d'opérateurs d'équipement lourd
Program,A-63905,A,A08,4,1,7321,"Automotive service technicians, truck and bus mechanics and mechanical repairers","Mécaniciens/mécaniciennes et réparateurs/réparatrices de véhicules automobiles, de camions et d'autobus"
Program,A-63905,A,A08,4,1,7441,Residential and commercial installers and servicers,"Personnel d'installation, d'entretien et de réparation d'équipement résidentiel et commercial"
Program,A-63905,A,A08,3,8,8255,"Contractors and supervisors, landscaping, grounds maintenance and horticulture services","Entrepreneurs/entrepreneuses et superviseurs/superviseures des services de l'aménagement paysager, de l'entretien des terrains et de l'horticulture"
Program,A-63905,A,A08,4,1,8432,Nursery and greenhouse workers,Ouvriers/ouvrières de pépinières et de serres
Program,A-63905,A,A08,2,19,8612,Landscaping and grounds maintenance labourers,Manoeuvres en aménagement paysager et en entretien des terrains
Program,A-64203,T,T11,1,15,2223,Forestry technologists and technicians,Technologues et techniciens/techniciennes en sciences forestières
Program,A-64203,T,T11,1,15,2225,Landscape and horticulture technicians and specialists,Techniciens/techniciennes et spécialistes de l'aménagement paysager et de l'horticulture
Program,A-64203,T,T11,4,8,4161,"Natural and applied science policy researchers, consultants and program officers","Recherchistes, experts-conseils/expertes-conseils et agents/agentes de programmes, en sciences naturelles et appliquées"
Program,A-64203,T,T11,1,15,6622,"Store shelf stockers, clerks and order fillers","Garnisseurs/garnisseuses de tablettes, commis et préposés/préposées aux commandes dans les magasins"
Program,A-64203,T,T11,4,8,6722,"Operators and attendants in amusement, recreation and sport","Opérateurs/opératrices et préposés/préposées aux sports, aux loisirs et dans les parcs d'attractions"
Program,A-64203,T,T11,4,8,7236,Ironworkers,Monteurs/monteuses de charpentes métalliques
Program,A-64203,T,T11,4,8,7283,Tilesetters,Carreleurs/carreleuses
Program,A-64203,T,T11,4,8,7335,Other small engine and small equipment repairers,Autres réparateurs/réparatrices de petits moteurs et de petits équipements
Program,A-64203,T,T11,4,8,7611,Construction trades helpers and labourers,Aides de soutien des métiers et manoeuvres en construction
Program,A-64203,T,T11,4,8,9474,Photographic and film processors,Développeurs/développeuses de films et de photographies
Program,A-64204,T,T11,5,4,1411,General office support workers,Employés de soutien de bureau généraux/employées de soutien de bureau générales
Program,A-64204,T,T11,5,4,2121,Biologists and related scientists,Biologistes et personnel scientifique assimilé
Program,A-64204,T,T11,1,7,2221,Biological technologists and technicians,Technologues et techniciens/techniciennes en biologie
Program,A-64204,T,T11,3,6,2224,Conservation and fishery officers,Techniciens/techniciennes du milieu naturel et de la pêche
Program,A-64204,T,T11,5,4,2231,Civil engineering technologists and technicians,Technologues et techniciens/techniciennes en génie civil
Program,A-64204,T,T11,1,7,6421,Retail salespersons,Vendeurs/vendeuses - commerce de détail
Program,A-64204,T,T11,5,4,6513,Food and beverage servers,Serveurs/serveuses d'aliments et de boissons
Program,A-64204,T,T11,3,6,8612,Landscaping and grounds maintenance labourers,Manoeuvres en aménagement paysager et en entretien des terrains
Program,A-64300,T,T12,5,3,2234,Construction estimators,Estimateurs/estimatrices en construction
Program,A-64300,T,T12,4,4,2253,Drafting technologists and technicians,Technologues et techniciens/techniciennes en dessin
Program,A-64300,T,T12,3,7,7271,Carpenters,Charpentiers-menuisiers/charpentières-menuisières
Program,A-64300,T,T12,1,44,7272,Cabinetmakers,Ébénistes
Program,A-64300,T,T12,5,3,7441,Residential and commercial installers and servicers,"Personnel d'installation, d'entretien et de réparation d'équipement résidentiel et commercial"
Program,A-64300,T,T12,2,12,9437,Woodworking machine operators,Opérateurs/opératrices de machines à travailler le bois
Program,A-64411,T,T18,3,4,2154,Land surveyors,Arpenteurs-géomètres/arpenteuses-géomètres
Program,A-64411,T,T18,3,4,2211,Chemical technologists and technicians,Technologues et techniciens/techniciennes en chimie
Program,A-64411,T,T18,1,54,2212,Geological and mineral technologists and technicians,Technologues et techniciens/techniciennes en géologie et en minéralogie
Program,A-64411,T,T18,3,4,2231,Civil engineering technologists and technicians,Technologues et techniciens/techniciennes en génie civil
Program,A-64411,T,T18,3,4,2232,Mechanical engineering technologists and technicians,Technologues et techniciens/techniciennes en génie mécanique
Program,A-64411,T,T18,3,4,2253,Drafting technologists and technicians,Technologues et techniciens/techniciennes en dessin
Program,A-64411,T,T18,3,4,6322,Cooks,Cuisiniers/cuisinières
Program,A-64411,T,T18,3,4,6622,"Store shelf stockers, clerks and order fillers","Garnisseurs/garnisseuses de tablettes, commis et préposés/préposées aux commandes dans les magasins"
Program,A-64411,T,T18,3,4,7521,Heavy equipment operators (except crane),Conducteurs/conductrices d'équipement lourd (sauf les grues)
Program,A-64411,T,T18,2,11,8231,Underground production and development miners,"Mineurs/mineuses d'extraction et de préparation, mines souterraines"
Program,A-64411,T,T18,3,4,8411,Underground mine service and support workers,Personnel d'entretien et de soutien des mines souterraines
Program,A-64411,T,T18,3,4,8612,Landscaping and grounds maintenance labourers,Manoeuvres en aménagement paysager et en entretien des terrains
Program,A-64900,T,T13,4,6,2142,Metallurgical and materials engineers,Ingénieurs/ingénieures métallurgistes et des matériaux
Program,A-64900,T,T13,1,28,2212,Geological and mineral technologists and technicians,Technologues et techniciens/techniciennes en géologie et en minéralogie
Program,A-64900,T,T13,4,6,2232,Mechanical engineering technologists and technicians,Technologues et techniciens/techniciennes en génie mécanique
Program,A-64900,T,T13,4,6,2261,Non-destructive testers and inspection technicians,Vérificateurs/vérificatrices et essayeurs/essayeuses des essais non destructifs
Program,A-64900,T,T13,3,11,7201,"Contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations","Entrepreneurs/entrepreneuses et contremaîtres/contremaîtresses des machinistes et du personnel des métiers du formage, du profilage et du montage des"
Program,A-64900,T,T13,4,6,7235,Structural metal and platework fabricators and fitters,Assembleurs/assembleuses et ajusteurs/ajusteuses de plaques et de charpentes métalliques
Program,A-64900,T,T13,1,28,7237,Welders and related machine operators,Soudeurs/soudeuses et opérateurs/opératrices de machines à souder et à braser
Program,A-64900,T,T13,4,6,7311,Construction millwrights and industrial mechanics,Mécaniciens/mécaniciennes de chantier et mécaniciens industriels/mécaniciennes industrielles
Program,A-64900,T,T13,4,6,9415,"Inspectors and testers, mineral and metal processing",Contrôleurs/contrôleuses et essayeurs/essayeuses dans la transformation des métaux et des minerais
Program,A-65203,T,T06,3,5,2232,Mechanical engineering technologists and technicians,Technologues et techniciens/techniciennes en génie mécanique
Program,A-65203,T,T06,1,27,2241,Electrical and electronics engineering technologists and technicians,Technologues et techniciens/techniciennes en génie électronique et électrique
Program,A-65203,T,T06,2,11,2242,Electronic service technicians (household and business equipment),Électroniciens/électroniciennes d'entretien (biens domestiques et commerciaux)
Program,A-65203,T,T06,5,3,2282,User support technicians,Agents/agentes de soutien aux utilisateurs
Program,A-65203,T,T06,3,5,9523,"Electronics assemblers, fabricators, inspectors and testers","Assembleurs/assembleuses, monteurs/monteuses, contrôleurs/contrôleuses et vérificateurs/vérificatrices de matériel électronique"
Program,A-65300,T,T16,3,5,2132,Mechanical engineers,Ingénieurs mécaniciens/ingénieures mécaniciennes
Program,A-65300,T,T16,1,15,2232,Mechanical engineering technologists and technicians,Technologues et techniciens/techniciennes en génie mécanique
Program,A-65300,T,T16,2,7,2233,Industrial engineering and manufacturing technologists and technicians,Technologues et techniciens/techniciennes en génie industriel et en génie de fabrication
Program,A-65300,T,T16,3,5,6421,Retail salespersons,Vendeurs/vendeuses - commerce de détail
Program,A-65300,T,T16,3,5,6622,"Store shelf stockers, clerks and order fillers","Garnisseurs/garnisseuses de tablettes, commis et préposés/préposées aux commandes dans les magasins"
Program,A-65300,T,T16,3,5,9522,"Motor vehicle assemblers, inspectors and testers","Assembleurs/assembleuses, contrôleurs/contrôleuses et vérificateurs/vérificatrices de véhicules automobiles"
Program,A-65500,T,T09,2,11,2232,Mechanical engineering technologists and technicians,Technologues et techniciens/techniciennes en génie mécanique
Program,A-65500,T,T09,5,3,6221,Technical sales specialists - wholesale trade,Spécialistes des ventes techniques - commerce de gros
Program,A-65500,T,T09,5,3,6421,Retail salespersons,Vendeurs/vendeuses - commerce de détail
Program,A-65500,T,T09,4,4,6622,"Store shelf stockers, clerks and order fillers","Garnisseurs/garnisseuses de tablettes, commis et préposés/préposées aux commandes dans les magasins"
Program,A-65500,T,T09,1,42,7313,Refrigeration and air conditioning mechanics,Mécaniciens/mécaniciennes en réfrigération et en climatisation
Program,A-65500,T,T09,3,5,7441,Residential and commercial installers and servicers,"Personnel d'installation, d'entretien et de réparation d'équipement résidentiel et commercial"
Program,A-65503,T,T09,3,5,2231,Civil engineering technologists and technicians,Technologues et techniciens/techniciennes en génie civil
Program,A-65503,T,T09,4,4,2232,Mechanical engineering technologists and technicians,Technologues et techniciens/techniciennes en génie mécanique
Program,A-65503,T,T09,1,7,2241,Electrical and electronics engineering technologists and technicians,Technologues et techniciens/techniciennes en génie électronique et électrique
Program,A-65503,T,T09,5,4,6221,Technical sales specialists - wholesale trade,Spécialistes des ventes techniques - commerce de gros
Program,A-65503,T,T09,1,7,7441,Residential and commercial installers and servicers,"Personnel d'installation, d'entretien et de réparation d'équipement résidentiel et commercial"
Program,A-65613,T,T06,4,3,2133,Electrical and electronics engineers,Ingénieurs électriciens et électroniciens/ingénieures électriciennes et électroniciennes
Program,A-65613,T,T06,1,33,2241,Electrical and electronics engineering technologists and technicians,Technologues et techniciens/techniciennes en génie électronique et électrique
Program,A-65613,T,T06,2,6,7241,Electricians (except industrial and power system),Électriciens/électriciennes (sauf électriciens industriels/électriciennes industrielles et de réseaux électriques)
Program,A-65613,T,T06,3,5,7242,Industrial electricians,Électriciens industriels/électriciennes industrielles
Program,A-65613,T,T06,5,3,9241,Power engineers and power systems operators,Mécaniciens/mécaniciennes de centrales et opérateurs/opératrices de réseaux énergiques
Program,A-65700,T,T06,3,9,2232,Mechanical engineering technologists and technicians,Technologues et techniciens/techniciennes en génie mécanique
Program,A-65700,T,T06,1,27,2241,Electrical and electronics engineering technologists and technicians,Technologues et techniciens/techniciennes en génie électronique et électrique
Program,A-65700,T,T06,3,9,2242,Electronic service technicians (household and business equipment),Électroniciens/électroniciennes d'entretien (biens domestiques et commerciaux)
Program,A-65700,T,T06,3,9,2282,User support technicians,Agents/agentes de soutien aux utilisateurs
Program,A-65700,T,T06,3,9,2283,Information systems testing technicians,Évaluateurs/évaluatrices de systèmes informatiques
Program,A-65700,T,T06,3,9,6512,Bartenders,Barmans/barmaids
Program,A-65700,T,T06,3,9,6552,Other customer and information services representatives,Autres préposés/autres préposées aux services d'information et aux services à la clientèle
Program,A-65700,T,T06,2,18,7246,Telecommunications installation and repair workers,Installateurs/installatrices et réparateurs/réparatrices de matériel de télécommunications
Program,A-65701,T,T19,2,8,2242,Electronic service technicians (household and business equipment),Électroniciens/électroniciennes d'entretien (biens domestiques et commerciaux)
Program,A-65701,T,T19,4,4,2281,Computer network technicians,Techniciens/techniciennes de réseau informatique
Program,A-65701,T,T19,2,8,2282,User support technicians,Agents/agentes de soutien aux utilisateurs
Program,A-65701,T,T19,1,75,5224,Broadcast technicians,Techniciens/techniciennes en radiotélédiffusion
Program,A-65701,T,T19,4,4,7514,Delivery and courier service drivers,Chauffeurs-livreurs/chauffeuses-livreuses - services de livraison et de messagerie
Program,A-66600,T,T14,1,67,7315,Aircraft mechanics and aircraft inspectors,Mécaniciens/mécaniciennes et contrôleurs/contrôleuses d'aéronefs
Program,A-66600,T,T14,2,33,7534,Air transport ramp attendants,Agents/agentes de piste dans le transport aérien
Program,A-67000,T,T09,3,9,2212,Geological and mineral technologists and technicians,Technologues et techniciens/techniciennes en géologie et en minéralogie
Program,A-67000,T,T09,2,15,2232,Mechanical engineering technologists and technicians,Technologues et techniciens/techniciennes en génie mécanique
Program,A-67000,T,T09,1,27,2233,Industrial engineering and manufacturing technologists and technicians,Technologues et techniciens/techniciennes en génie industriel et en génie de fabrication
Program,A-67000,T,T09,4,6,7237,Welders and related machine operators,Soudeurs/soudeuses et opérateurs/opératrices de machines à souder et à braser
Program,A-67000,T,T09,5,3,9417,Machining tool operators,Opérateurs/opératrices de machines d'usinage
Program,A-67001,T,T09,5,2,2134,Chemical engineers,Ingénieurs chimistes/ingénieures chimistes
Program,A-67001,T,T09,2,5,2211,Chemical technologists and technicians,Technologues et techniciens/techniciennes en chimie
Program,A-67001,T,T09,5,2,7521,Heavy equipment operators (except crane),Conducteurs/conductrices d'équipement lourd (sauf les grues)
Program,A-67001,T,T09,1,65,9232,"Petroleum, gas and chemical process operators",Opérateurs/opératrices de salle de commande centrale dans le raffinage du pétrole et le traitement du gaz et des produits chimiques
Program,A-67001,T,T09,4,3,9241,Power engineers and power systems operators,Mécaniciens/mécaniciennes de centrales et opérateurs/opératrices de réseaux énergiques
Program,A-67001,T,T09,5,2,9422,Plastics processing machine operators,Opérateurs/opératrices de machines de traitement des matières plastiques
Program,A-67001,T,T09,3,4,9423,Rubber processing machine operators and related workers,Opérateurs/opératrices de machines de transformation du caoutchouc et personnel assimilé
Program,A-67019,T,T14,3,4,621,Retail and wholesale trade managers,Directeurs/directrices - commerce de détail et de gros
Program,A-67019,T,T14,3,4,1122,Professional occupations in business management consulting,Professionnels/professionnelles des services-conseils en gestion aux entreprises
Program,A-67019,T,T14,3,4,1523,Production logistics co-ordinators,Coordonnateurs/coordonnatrices de la logistique de la production
Program,A-67019,T,T14,3,4,2212,Geological and mineral technologists and technicians,Technologues et techniciens/techniciennes en géologie et en minéralogie
Program,A-67019,T,T14,1,48,2232,Mechanical engineering technologists and technicians,Technologues et techniciens/techniciennes en génie mécanique
Program,A-67019,T,T14,2,9,2233,Industrial engineering and manufacturing technologists and technicians,Technologues et techniciens/techniciennes en génie industriel et en génie de fabrication
Program,A-67019,T,T14,3,4,2261,Non-destructive testers and inspection technicians,Vérificateurs/vérificatrices et essayeurs/essayeuses des essais non destructifs
Program,A-67019,T,T14,3,4,7231,Machinists and machining and tooling inspectors,Machinistes et vérificateurs/vérificatrices d'usinage et d'outillage
Program,A-67019,T,T14,3,4,7252,"Steamfitters, pipefitters and sprinkler system installers","Tuyauteurs/tuyauteuses, monteurs/monteuses d'appareils de chauffage et poseurs/poseuses de gicleurs"
Program,A-67019,T,T14,3,4,9521,Aircraft assemblers and aircraft assembly inspectors,Monteurs/monteuses d'aéronefs et contrôleurs/contrôleuses de montage d'aéronefs
Program,A-67019,T,T14,3,4,9522,"Motor vehicle assemblers, inspectors and testers","Assembleurs/assembleuses, contrôleurs/contrôleuses et vérificateurs/vérificatrices de véhicules automobiles"
Program,A-67019,T,T14,3,4,9526,Mechanical assemblers and inspectors,Monteurs/monteuses et contrôleurs/contrôleuses de matériel mécanique
Program,A-67600,T,T12,3,6,711,Construction managers,Directeurs/directrices de la construction
Program,A-67600,T,T12,5,5,712,Home building and renovation managers,Gestionnaires et rénovateurs/rénovatrices en construction domiciliaire
Program,A-67600,T,T12,3,6,6421,Retail salespersons,Vendeurs/vendeuses - commerce de détail
Program,A-67600,T,T12,1,25,7271,Carpenters,Charpentiers-menuisiers/charpentières-menuisières
Program,A-67600,T,T12,2,20,7611,Construction trades helpers and labourers,Aides de soutien des métiers et manoeuvres en construction
Program,A-68200,T,T04,1,23,711,Construction managers,Directeurs/directrices de la construction
Program,A-68200,T,T04,3,9,2231,Civil engineering technologists and technicians,Technologues et techniciens/techniciennes en génie civil
Program,A-68200,T,T04,2,14,2234,Construction estimators,Estimateurs/estimatrices en construction
Program,A-68200,T,T04,5,6,2251,Architectural technologists and technicians,Technologues et techniciens/techniciennes en architecture
Program,A-68200,T,T04,5,6,2253,Drafting technologists and technicians,Technologues et techniciens/techniciennes en dessin
Program,A-68200,T,T04,4,6,7611,Construction trades helpers and labourers,Aides de soutien des métiers et manoeuvres en construction
Program,A-68205,T,T04,1,11,2241,Electrical and electronics engineering technologists and technicians,Technologues et techniciens/techniciennes en génie électronique et électrique
Program,A-68205,T,T04,2,9,2242,Electronic service technicians (household and business equipment),Électroniciens/électroniciennes d'entretien (biens domestiques et commerciaux)
Program,A-68205,T,T04,2,9,2243,Industrial instrument technicians and mechanics,Techniciens/techniciennes et mécaniciens/mécaniciennes d'instruments industriels
Program,A-68205,T,T04,5,6,4012,Post-secondary teaching and research assistants,Assistants/assistantes d'enseignement et de recherche au niveau postsecondaire
Program,A-68205,T,T04,5,6,6421,Retail salespersons,Vendeurs/vendeuses - commerce de détail
Program,A-68205,T,T04,2,9,7241,Electricians (except industrial and power system),Électriciens/électriciennes (sauf électriciens industriels/électriciennes industrielles et de réseaux électriques)
Program,A-68401,T,T15,1,40,2271,"Air pilots, flight engineers and flying instructors","Pilotes, navigateurs/navigatrices et instructeurs/instructrices de pilotage du transport aérien"
Program,A-68401,T,T15,4,3,2272,Air traffic controllers and related occupations,Contrôleurs aériens/contrôleuses aériennes et personnel assimilé
Program,A-68401,T,T15,3,9,4021,College and other vocational instructors,Enseignants/enseignantes au niveau collégial et autres instructeurs/instructrices en formation professionnelle
Program,A-68401,T,T15,4,3,6421,Retail salespersons,Vendeurs/vendeuses - commerce de détail
Program,A-68401,T,T15,4,3,7452,Material handlers,Manutentionnaires
Program,A-68401,T,T15,2,12,7534,Air transport ramp attendants,Agents/agentes de piste dans le transport aérien
Program,A-68500,T,T17,3,4,433,Commissioned officers of the Canadian Forces,Officiers/officières de direction des Forces canadiennes
Program,A-68500,T,T17,3,4,1215,"Supervisors, supply chain, tracking and scheduling co-ordination occupations","Superviseurs/superviseures du personnel de coordination de la chaîne d'approvisionnement, du suivi et des horaires"
Program,A-68500,T,T17,3,4,1521,Shippers and receivers,Expéditeurs/expéditrices et réceptionnaires
Program,A-68500,T,T17,3,4,2262,Engineering inspectors and regulatory officers,Inspecteurs/inspectrices d'ingénierie et officiers/officières de réglementation
Program,A-68500,T,T17,1,46,2273,"Deck officers, water transport",Officiers/officières de pont du transport par voies navigables
Program,A-68500,T,T17,3,4,2274,"Engineer officers, water transport",Officiers mécaniciens/officières mécaniciennes du transport par voies navigables
Program,A-68500,T,T17,3,4,2282,User support technicians,Agents/agentes de soutien aux utilisateurs
Program,A-68500,T,T17,3,4,6541,Security guards and related security service occupations,Agents/agentes de sécurité et personnel assimilé des services de sécurité
Program,A-68500,T,T17,3,4,7237,Welders and related machine operators,Soudeurs/soudeuses et opérateurs/opératrices de machines à souder et à braser
Program,A-68500,T,T17,3,4,7302,"Contractors and supervisors, heavy equipment operator crews",Entrepreneurs/entrepreneuses et contremaîtres/contremaîtresses des équipes d'opérateurs d'équipement lourd
Program,A-68500,T,T17,3,4,7452,Material handlers,Manutentionnaires
Program,A-68500,T,T17,2,8,7532,Water transport deck and engine room crew,Matelots de pont et matelots de salle des machines du transport par voies navigables
Program,A-68500,T,T17,3,4,7533,Boat and cable ferry operators and related occupations,"Opérateurs/opératrices de bateau à moteur, de bac à câble et personnel assimilé"
Program,A-68600,T,T17,2,24,2148,"Other professional engineers, n.e.c.","Autres ingénieurs/ingénieures, n.c.a."
Program,A-68600,T,T17,3,10,2232,Mechanical engineering technologists and technicians,Technologues et techniciens/techniciennes en génie mécanique
Program,A-68600,T,T17,1,45,2274,"Engineer officers, water transport",Officiers mécaniciens/officières mécaniciennes du transport par voies navigables
Program,A-68600,T,T17,4,3,4212,Social and community service workers,Travailleurs/travailleuses des services sociaux et communautaires
Program,A-68600,T,T17,4,3,7237,Welders and related machine operators,Soudeurs/soudeuses et opérateurs/opératrices de machines à souder et à braser
Program,A-68600,T,T17,4,3,7311,Construction millwrights and industrial mechanics,Mécaniciens/mécaniciennes de chantier et mécaniciens industriels/mécaniciennes industrielles
Program,A-68600,T,T17,4,3,7312,Heavy-duty equipment mechanics,Mécaniciens/mécaniciennes d'équipement lourd
Program,A-68600,T,T17,4,3,7532,Water transport deck and engine room crew,Matelots de pont et matelots de salle des machines du transport par voies navigables
Program,A-68600,T,T17,4,3,9522,"Motor vehicle assemblers, inspectors and testers","Assembleurs/assembleuses, contrôleurs/contrôleuses et vérificateurs/vérificatrices de véhicules automobiles"
Program,A-68900,B,B13,4,4,1215,"Supervisors, supply chain, tracking and scheduling co-ordination occupations","Superviseurs/superviseures du personnel de coordination de la chaîne d'approvisionnement, du suivi et des horaires"
Program,A-68900,B,B13,1,12,1225,Purchasing agents and officers,Agents/agentes aux achats
Program,A-68900,B,B13,2,9,1523,Production logistics co-ordinators,Coordonnateurs/coordonnatrices de la logistique de la production
Program,A-68900,B,B13,3,6,1524,Purchasing and inventory control workers,Commis aux achats et au contrôle de l'inventaire
Program,A-68900,B,B13,4,4,6421,Retail salespersons,Vendeurs/vendeuses - commerce de détail
Program,A-68905,T,T19,4,3,621,Retail and wholesale trade managers,Directeurs/directrices - commerce de détail et de gros
Program,A-68905,T,T19,4,3,1123,"Professional occupations in advertising, marketing and public relations","Professionnels/professionnelles en publicité, en marketing et en relations publiques"
Program,A-68905,T,T19,4,3,2231,Civil engineering technologists and technicians,Technologues et techniciens/techniciennes en génie civil
Program,A-68905,T,T19,4,3,2251,Architectural technologists and technicians,Technologues et techniciens/techniciennes en architecture
Program,A-68905,T,T19,2,14,5223,Graphic arts technicians,Techniciens/techniciennes en graphisme
Program,A-68905,T,T19,4,3,5225,Audio and video recording technicians,Techniciens/techniciennes en enregistrement audio et vidéo
Program,A-68905,T,T19,1,57,5241,Graphic designers and illustrators,Designers graphiques et illustrateurs/illustratrices
Program,A-68905,T,T19,4,3,6342,"Tailors, dressmakers, furriers and milliners","Tailleurs/tailleuses, couturiers/couturières, fourreurs/fourreuses et modistes"
Program,A-68905,T,T19,3,8,6421,Retail salespersons,Vendeurs/vendeuses - commerce de détail
Program,A-68905,T,T19,4,3,6511,Maîtres d'hôtel and hosts/hostesses,Maîtres d'hôtel et hôtes/hôtesses
Program,A-68905,T,T19,4,3,6622,"Store shelf stockers, clerks and order fillers","Garnisseurs/garnisseuses de tablettes, commis et préposés/préposées aux commandes dans les magasins"
Program,A-69100,T,T10,3,5,2132,Mechanical engineers,Ingénieurs mécaniciens/ingénieures mécaniciennes
Program,A-69100,T,T10,4,4,2232,Mechanical engineering technologists and technicians,Technologues et techniciens/techniciennes en génie mécanique
Program,A-69100,T,T10,2,6,2241,Electrical and electronics engineering technologists and technicians,Technologues et techniciens/techniciennes en génie électronique et électrique
Program,A-69100,T,T10,5,3,7232,Tool and die makers,Outilleurs-ajusteurs/outilleuses-ajusteuses
Program,A-69100,T,T10,5,3,9232,"Petroleum, gas and chemical process operators",Opérateurs/opératrices de salle de commande centrale dans le raffinage du pétrole et le traitement du gaz et des produits chimiques
